word=франция; end_id=-50688270_2503; time_start=1375467645; count=1000; groups_num=391; users_num=0; items_num=948
word=zoiberg; end_id=76831021_5147; time_start=1375467678; count=1000; groups_num=163; users_num=0; items_num=872
word=путин; end_id=33453509_3779; time_start=1375467700; count=1000; groups_num=134; users_num=0; items_num=921
word=#франция; end_id=-42334971_751; time_start=1375467720; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=27533299_1395; time_start=1375467745; count=1000; groups_num=249; users_num=0; items_num=940
word=франция; end_id=-19059869_3042; time_start=1375467768; count=1000; groups_num=385; users_num=0; items_num=948
word=zoiberg; end_id=195628717_1888; time_start=1375467801; count=1000; groups_num=162; users_num=0; items_num=857
word=путин; end_id=170251112_531; time_start=1375467822; count=1000; groups_num=133; users_num=0; items_num=925
word=#франция; end_id=-42334971_751; time_start=1375467842; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=-23861864_877; time_start=1375467866; count=1000; groups_num=250; users_num=0; items_num=938
word=франция; end_id=100883097_3001; time_start=1375467894; count=1000; groups_num=383; users_num=0; items_num=949
word=zoiberg; end_id=23195131_303; time_start=1375467928; count=1000; groups_num=163; users_num=0; items_num=858
word=путин; end_id=49344839_446; time_start=1375467949; count=1000; groups_num=136; users_num=0; items_num=926
word=#франция; end_id=-42334971_751; time_start=1375467968; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=47600964_7347; time_start=1375467994; count=1000; groups_num=247; users_num=0; items_num=940
word=франция; end_id=-9828339_397940; time_start=1375468017; count=1000; groups_num=378; users_num=0; items_num=950
word=zoiberg; end_id=-32573577_316352; time_start=1375468047; count=1000; groups_num=169; users_num=0; items_num=887
word=путин; end_id=114394921_98420; time_start=1375468066; count=1000; groups_num=133; users_num=0; items_num=927
word=#франция; end_id=-42334971_751; time_start=1375468087; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=88519953_910; time_start=1375468109; count=1000; groups_num=247; users_num=0; items_num=940
word=франция; end_id=-56685045_41; time_start=1375468130; count=1000; groups_num=377; users_num=0; items_num=950
word=zoiberg; end_id=218242559_83; time_start=1375468162; count=1000; groups_num=168; users_num=0; items_num=888
word=путин; end_id=-33011469_7801; time_start=1375468182; count=1000; groups_num=133; users_num=0; items_num=924
word=#франция; end_id=-42334971_751; time_start=1375468202; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=119602485_15651; time_start=1375468225; count=1000; groups_num=249; users_num=0; items_num=940
word=франция; end_id=-50217019_5486; time_start=1375468249; count=1000; groups_num=375; users_num=0; items_num=948
word=zoiberg; end_id=-53856113_1742; time_start=1375468282; count=1000; groups_num=155; users_num=0; items_num=870
word=путин; end_id=203695_14235; time_start=1375468302; count=1000; groups_num=135; users_num=0; items_num=930
word=#франция; end_id=-42334971_751; time_start=1375468321; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=78396425_3438; time_start=1375468343; count=1000; groups_num=248; users_num=0; items_num=940
word=франция; end_id=-41932286_103122; time_start=1375468368; count=1000; groups_num=371; users_num=0; items_num=951
word=zoiberg; end_id=76456956_15232; time_start=1375468400; count=1000; groups_num=158; users_num=0; items_num=865
word=путин; end_id=-210387_5894; time_start=1375468419; count=1000; groups_num=135; users_num=0; items_num=930
word=#франция; end_id=-42334971_751; time_start=1375468437; count=1000; groups_num=315; users_num=0; items_num=875
word=медведев; end_id=119602485_15651; time_start=1375468459; count=1000; groups_num=250; users_num=0; items_num=939
word=франция; end_id=-25008324_26229; time_start=1375468487; count=1000; groups_num=369; users_num=0; items_num=951
word=zoiberg; end_id=21713632_11118; time_start=1375468519; count=1000; groups_num=160; users_num=0; items_num=884
word=путин; end_id=-54612183_849; time_start=1375468537; count=1000; groups_num=132; users_num=0; items_num=914
word=#франция; end_id=-35683765_23571; time_start=1375468557; count=1000; groups_num=314; users_num=0; items_num=877
word=медведев; end_id=72372371_4829; time_start=1375468579; count=1000; groups_num=246; users_num=0; items_num=940
word=франция; end_id=16546136_381; time_start=1375468605; count=1000; groups_num=368; users_num=0; items_num=951
word=zoiberg; end_id=46963561_865; time_start=1375468636; count=1000; groups_num=161; users_num=0; items_num=887
word=путин; end_id=27533299_1396; time_start=1375468655; count=1000; groups_num=130; users_num=0; items_num=932
word=#франция; end_id=-35683765_23571; time_start=1375468675; count=1000; groups_num=314; users_num=0; items_num=877
word=медведев; end_id=73352639_253; time_start=1375468697; count=1000; groups_num=247; users_num=0; items_num=940
word=франция; end_id=-40946716_31018; time_start=1375468719; count=1000; groups_num=363; users_num=0; items_num=951
word=zoiberg; end_id=96829710_2739; time_start=1375468750; count=1000; groups_num=162; users_num=0; items_num=890
word=путин; end_id=-33559254_645604; time_start=1375468769; count=1000; groups_num=128; users_num=0; items_num=926
word=#франция; end_id=-35683765_23571; time_start=1375468793; count=1000; groups_num=314; users_num=0; items_num=877
